"SYMBOL","OPEN","HIGH","LOW","PREV.CLOSE","LTP","INDICATIVECLOSE","CHNG","%CHNG","VOLUME(shares)","VALUE(₹Crores)","52WH","52WL","30D%CHNG","365D%CHNG"
"IOC","153.90","155.00","153.70","153.85","154.00","-","0.15","0.10","11,88,949","18.33","166.68","110.72","3.60","-6.95"
"COALINDIA","393.10","393.15","390.60","390.60","390.95","-","0.35","0.09","6,78,084","26.54","494.75","349.25","-0.99","-20.64"
"GMRAIRPORT","92.50","92.58","91.60","91.96","92.02","-","0.06","0.07","16,59,032","15.27","97.00","67.75","-0.62","-"
"DABUR","506.15","507.85","503.45","504.55","504.80","-","0.25","0.05","1,28,942","6.52","577.00","433.30","-5.77","-11.70"
"EXIDEIND","398.90","401.60","398.00","398.85","399.00","-","0.15","0.04","3,82,337","15.28","498.65","328.00","-3.78","-19.55"
"SHREECEM","29,045.00","29,085.00","28,755.00","28,880.00","28,890.00","-","10.00","0.03","1,726","5.00","32,490.00","23,500.00","-3.35","18.72"
"ADANIENT","2,554.90","2,562.00","2,542.30","2,548.10","2,548.50","-","0.40","0.02","1,01,019","25.79","3,070.00","2,025.00","0.95","-15.12"
"HINDPETRO","454.95","456.50","451.70","452.95","453.05","-","0.10","0.02","3,27,276","14.88","465.20","287.55","9.66","4.95"
"LICI","890.00","894.70","890.00","891.85","892.00","-","0.15","0.02","1,14,200","10.20","1,007.80","715.30","-0.19","-4.60"
"JUBLFOOD","592.00","595.55","588.25","590.75","590.85","-","0.10","0.02","1,17,879","6.97","796.75","558.25","-5.69","-5.48"
"ABB","5,248.00","5,262.00","5,220.00","5,231.50","5,232.00","-","0.50","0.01","26,961","14.14","8,871.30","4,684.45","-3.78","-40.44"
"APOLLOHOSP","8,038.00","8,058.50","7,992.50","8,010.00","8,010.00","-","-","-","31,082","24.94","8,065.00","6,001.00","2.61","14.71"
"BIOCON","364.30","367.60","361.80","364.30","364.30","-","-","-","4,33,779","15.87","406.00","291.00","-1.33","7.16"
"COROMANDEL","2,186.00","2,193.90","2,173.00","2,175.00","2,175.10","-","0.10","-","14,054","3.07","2,718.90","1,560.00","-3.82","34.17"
"LTF","269.78","269.78","267.00","267.54","267.50","-","-0.04","-0.01","5,43,455","14.58","273.57","129.20","8.45","60.55"
"WIPRO","241.00","242.16","240.36","241.24","241.19","-","-0.05","-0.02","20,82,336","50.30","324.60","228.00","-5.72","-56.03"
"UNIONBANK","142.00","142.52","141.10","141.33","141.30","-","-0.03","-0.02","25,39,060","36.04","158.65","100.81","0.73","25.94"
"IRFC","125.63","126.00","125.00","125.07","125.05","-","-0.02","-0.02","21,09,920","26.46","166.90","108.04","-3.56","-15.31"
"NESTLEIND","1,280.00","1,292.00","1,277.30","1,285.40","1,285.00","-","-0.40","-0.03","2,45,138","31.53","1,311.60","1,055.00","7.61","-45.31"
"INDHOTEL","746.05","748.00","741.00","743.00","742.80","-","-0.20","-0.03","2,49,034","18.56","894.90","649.00","-4.20","8.20"
"HAVELLS","1,485.90","1,491.90","1,480.00","1,485.40","1,485.00","-","-0.40","-0.03","72,699","10.80","1,865.00","1,381.30","-6.63","-19.70"
"ETERNAL","340.10","340.80","337.20","338.15","338.00","-","-0.15","-0.04","38,18,958","129.37","368.45","194.80","0.48","-"
"BOSCHLTD","39,510.00","39,510.00","39,020.00","39,215.00","39,200.00","-","-15.00","-0.04","1,943","7.63","41,945.00","25,921.60","-1.45","6.56"
"AUROPHARMA","1,101.10","1,106.70","1,098.00","1,099.40","1,099.00","-","-0.40","-0.04","64,349","7.09","1,499.50","1,010.00","-1.77","-25.35"
"SBIN","908.00","910.00","906.40","907.50","907.05","-","-0.45","-0.05","17,83,576","161.95","913.65","680.00","5.24","10.62"
